SITE,YEAR,BBH,BBH_LOG,BBH_PROP,BCR,BCR_LOG,BCR_PROP,BGS,BGS_LOG,BGS_PROP,BLP,BLP_LOG,BLP_PROP,BRB,BRB_LOG,BRB_PROP,CCF,CCF_LOG,CCF_PROP,CHN,CHN_LOG,CHN_PROP,COT,COT_LOG,COT_PROP,CRP,CRP_LOG,CRP_PROP,FHM,FHM_LOG,FHM_PROP,GLF,GLF_LOG,GLF_PROP,GSF,GSF_LOG,GSF_PROP,GSH,GSH_LOG,GSH_PROP,ISS,ISS_LOG,ISS_PROP,LEP,LEP_LOG,LEP_PROP,LMB,LMB_LOG,LMB_PROP,MSQ,MSQ_LOG,MSQ_PROP,PKM,PKM_LOG,PKM_PROP,PLR,PLR_LOG,PLR_PROP,PMK,PMK_LOG,PMK_PROP,RBT,RBT_LOG,RBT_PROP,RCH,RCH_LOG,RCH_PROP,RES,RES_LOG,RES_PROP,RSH,RSH_LOG,RSH_PROP,SAP,SAP_LOG,SAP_PROP,SBF,SBF_LOG,SBF_PROP,SBK,SBK_LOG,SBK_PROP,SKR,SKR_LOG,SKR_PROP,SMB,SMB_LOG,SMB_PROP,SPB,SPB_LOG,SPB_PROP,STB,STB_LOG,STB_PROP,TUP,TUP_LOG,TUP_PROP,WCF,WCF_LOG,WCF_PROP,WRM,WRM_LOG,WRM_LOG,YFG,YFG_LOG,YFG_PROP,sumofcaught
1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1.748188027,0.192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.477121255,0.007017544,0,0,0,11,1.079181246,0.038596491,2,0.477121255,0.007017544,0,0,0,80,1.908485019,0.280701754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2.117271296,0.456140351,5,0.77815125,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1.949390007,0.455958549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.301029996,0.005181347,0,0,0,12,1.113943352,0.062176166,1,0.301029996,0.005181347,0,0,0,36,1.568201724,0.186528497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.361727836,0.113989637,32,1.51851394,0.165803109,0,0,0,0,0,0,0,0,0,1,0.301029996,0.005181347,0,0,0,0,0,0,0,0,0,193
1,2016,0,0,0,0,0,0,7,0.903089987,0.016018307,0,0,0,0,0,0,0,0,0,2,0.477121255,0.004576659,151,2.181843588,0.345537757,0,0,0,0,0,0,0,0,0,2,0.477121255,0.004576659,0,0,0,0,0,0,0,0,0,8,0.954242509,0.018306636,0,0,0,36,1.568201724,0.082379863,5,0.77815125,0.011441648,0,0,0,77,1.892094603,0.176201373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1.913813852,0.185354691,67,1.832508913,0.153318078,0,0,0,1,0.301029996,0.00228833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1.832508913,0.234265734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1.591064607,0.132867133,0,0,0,0,0,0,33,1.531478917,0.115384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.041392685,0.034965035,137,2.139879086,0.479020979,0,0,0,0,0,0,0,0,0,1,0.301029996,0.003496503,0,0,0,0,0,0,0,0,0,286
3,1993,0,0,0,0,0,0,0,0,0,14,1.176091259,0.112903226,0,0,0,0,0,0,0,0,0,0,0,0,1,0.301029996,0.008064516,0,0,0,3,0.602059991,0.024193548,14,1.176091259,0.112903226,0,0,0,0,0,0,0,0,0,72,1.86332286,0.580645161,0,0,0,1,0.301029996,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,1,0.301029996,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,3,0.602059991,0.024193548,1,0.301029996,0.008064516,0,0,0,0,0,0,14,1.176091259,0.112903226,0,0,0,0,0,0,0,0,0,124
3,1994,0,0,0,0,0,0,1,0.301029996,0.010638298,19,1.301029996,0.20212766,0,0,0,0,0,0,0,0,0,1,0.301029996,0.010638298,0,0,0,0,0,0,0,0,0,3,0.602059991,0.031914894,0,0,0,0,0,0,0,0,0,50,1.707570176,0.531914894,0,0,0,1,0.301029996,0.010638298,0,0,0,0,0,0,0,0,0,0,0,0,4,0.698970004,0.042553191,0,0,0,0,0,0,0,0,0,0,0,0,1,0.301029996,0.010638298,3,0.602059991,0.031914894,0,0,0,0,0,0,11,1.079181246,0.117021277,0,0,0,0,0,0,0,0,0,94
3,1995,0,0,0,0,0,0,36,1.568201724,0.21686747,26,1.431363764,0.156626506,0,0,0,0,0,0,0,0,0,3,0.602059991,0.018072289,1,0.301029996,0.006024096,0,0,0,1,0.301029996,0.006024096,18,1.278753601,0.108433735,0,0,0,0,0,0,0,0,0,38,1.591064607,0.228915663,4,0.698970004,0.024096386,1,0.301029996,0.006024096,1,0.301029996,0.006024096,0,0,0,0,0,0,0,0,0,6,0.84509804,0.036144578,0,0,0,0,0,0,0,0,0,0,0,0,2,0.477121255,0.012048193,15,1.204119983,0.090361446,0,0,0,0,0,0,14,1.176091259,0.084337349,0,0,0,0,0,0,0,0,0,166
3,1996,0,0,0,0,0,0,3,0.602059991,0.052631579,7,0.903089987,0.122807018,0,0,0,0,0,0,0,0,0,0,0,0,1,0.301029996,0.01754386,0,0,0,0,0,0,29,1.477121255,0.50877193,0,0,0,0,0,0,0,0,0,3,0.602059991,0.052631579,0,0,0,5,0.77815125,0.087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.477121255,0.035087719,6,0.84509804,0.105263158,0,0,0,0,0,0,0,0,0,1,0.301029996,0.01754386,0,0,0,0,0,0,57
3,1997,0,0,0,0,0,0,15,1.204119983,0.145631068,22,1.361727836,0.213592233,0,0,0,0,0,0,0,0,0,5,0.77815125,0.048543689,0,0,0,0,0,0,0,0,0,8,0.954242509,0.077669903,0,0,0,0,0,0,1,0.301029996,0.009708738,17,1.255272505,0.165048544,3,0.602059991,0.029126214,2,0.477121255,0.019417476,2,0.477121255,0.019417476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.301029996,0.009708738,7,0.903089987,0.067961165,8,0.954242509,0.077669903,0,0,0,0,0,0,12,1.113943352,0.116504854,0,0,0,0,0,0,0,0,0,103
3,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.84509804,0.053097345,0,0,0,0,0,0,0,0,0,3,0.602059991,0.026548673,0,0,0,0,0,0,0,0,0,1,0.301029996,0.008849558,0,0,0,18,1.278753601,0.159292035,2,0.477121255,0.017699115,0,0,0,0,0,0,0,0,0,1,0.301029996,0.008849558,0,0,0,0,0,0,0,0,0,2,0.477121255,0.017699115,63,1.806179974,0.557522124,4,0.698970004,0.03539823,0,0,0,0,0,0,13,1.146128036,0.115044248,0,0,0,0,0,0,0,0,0,113
3,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.77815125,0.035211268,0,0,0,0,0,0,0,0,0,2,0.477121255,0.014084507,0,0,0,0,0,0,0,0,0,2,0.477121255,0.014084507,3,0.602059991,0.021126761,40,1.612783857,0.281690141,11,1.079181246,0.077464789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1.806179974,0.443661972,4,0.698970004,0.028169014,0,0,0,0,0,0,12,1.113943352,0.084507042,0,0,0,0,0,0,0,0,0,142
3,2000,0,0,0,0,0,0,0,0,0,1,0.301029996,0.004048583,0,0,0,0,0,0,0,0,0,11,1.079181246,0.044534413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.204119983,0.060728745,3,0.602059991,0.012145749,77,1.892094603,0.311740891,1,0.301029996,0.004048583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1.892094603,0.311740891,1,0.301029996,0.004048583,0,0,0,0,0,0,61,1.792391689,0.246963563,0,0,0,0,0,0,0,0,0,247
3,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1.556302501,0.079908676,0,0,0,0,0,0,0,0,0,2,0.477121255,0.00456621,0,0,0,0,0,0,0,0,0,0,0,0,1,0.301029996,0.002283105,93,1.973127854,0.212328767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,2.269512944,0.422374429,0,0,0,0,0,0,0,0,0,122,2.089905111,0.278538813,0,0,0,0,0,0,0,0,0,438
3,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1.755874856,0.080229226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.477121255,0.00286533,203,2.309630167,0.290830946,2,0.477121255,0.00286533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.602059991,0.004297994,179,2.255272505,0.256446991,1,0.301029996,0.001432665,0,0,0,0,0,0,252,2.403120521,0.361031519,0,0,0,0,0,0,0,0,0,698
